Date,Price_Stock_Ex,stock_return_mo,stock_return_pa
2024-09,282.62,-0.02061891395501958,-0.22120966847120582
2024-08,288.57,-0.10175558737471202,-0.7241110583483613
2024-07,321.26,-0.012054861922627502,-0.13544238658539898
2024-06,325.18,0.0068739162744613225,0.08567811600126984
2024-05,322.96,0.0415376676986583,0.6296703809729554
2024-04,310.08,0.09825033647375503,2.0790457358482026
2024-03,282.34,-0.04041056316487113,-0.39042730758884236
2024-02,294.23,0.051271973703015616,0.8221370480301347
2024-01,279.88,0.10707646058304654,2.3894669159807336
2023-12,252.81,-0.08225941118815128,-0.6430237890697417
2023-11,275.47,0.0373954959704752,0.5535752618092484
2023-10,265.54,-0.12634072514312022,-0.8022551865423297
2023-09,303.94,0.024263665161420755,0.33334090047741594
2023-08,296.74,0.10653689823619339,2.3696966351107345
2023-07,268.17,0.21228696713530137,9.075468159721055
2023-06,221.21,-0.06183468340472453,-0.5351075644726633
2023-05,235.79,-0.006823638431405654,-0.07887940385168613
2023-04,237.41,-0.053540105246372205,-0.4833141227463502
2023-03,250.84,-0.09568101521378614,-0.7008701319662861
2023-02,277.38,0.048497448497448525,0.7652594107886568
2023-01,264.55,-0.10136213865960109,-0.7226574223290558
2022-12,294.39,0.10196518809657507,2.206376379578442
2022-11,267.15,0.24982456140350862,13.527425649546501
2022-10,213.75,0.24519398811604343,12.894540293295519
2022-09,171.66,-0.014524369940869142,-0.16102181529086879
2022-08,174.19,0.20413383105212213,8.291741109072529
2022-07,144.66,0.004164931278633821,0.0511400988338262
2022-06,144.06,-0.07165871890707565,-0.5902754802067562
2022-05,155.18,-0.051640897146000064,-0.4707342316784663
2022-04,163.63,0.07552254502431976,1.3957098672545536
2022-03,152.14,0.08354105832917869,1.619054108537615
2022-02,140.41,-0.057018132975151126,-0.5056436703623662
2022-01,148.9,0.06054131054131062,1.0245619925339073
2021-12,140.4,0.04386617100371759,0.6739322688703522
2021-11,134.5,-0.15790132732281492,-0.8728384556194496
2021-10,159.72,0.010310582579543315,0.13099015571604333
2021-09,158.09,-0.10804558790340779,-0.7464218102494214
2021-08,177.24,0.071195455094887,1.282572898151844
2021-07,165.46,0.062138913852869404,1.0614644313466357
2021-06,155.78,-0.06880267798433848,-0.5748906862117114
2021-05,167.29,-0.009883996212121327,-0.11236797319237946
2021-04,168.96,0.001481832730721333,0.017927635672043474
2021-03,168.71,-0.14870319911191843,-0.8551321495253983
2021-02,198.18,-0.0160857908847184,-0.17683520307310818
2021-01,201.42,0.013484955217872407,0.17437736967479744
2020-12,198.74,0.2099111165225862,8.841053751464468
2020-11,164.26,0.23680445749567047,11.811869357364852
2020-10,132.81,-0.10661913090273101,-0.7415123615844559
2020-09,148.66,0.01232550221314277,0.15835621004205924
2020-08,146.85,-0.08969749566079843,-0.6762357813512028
2020-07,161.32,-0.05105882352941182,-0.4668228811810813
2020-06,170,0.098901098901099,2.101010895496091
2020-05,154.7,0.0694041200055302,1.2371867332852404
2020-04,144.66,0.06539991162174097,1.1387098867240435
2020-03,135.78,-0.2009180790960451,-0.9322209216226351
2020-02,169.92,-0.1471163981328113,-0.8518583514309698
2020-01,199.23,0.035983568197181626,0.5283907657180098
2019-12,192.31,0.03431398913569628,0.4990937132874078
2019-11,185.93,0.08029748416710247,1.5265062464534527
2019-10,172.11,-0.07348191214470268,-0.5998278814348774
2019-09,185.76,0.12248474228050021,3.0009705733519825
2019-08,165.49,-0.10064670398347908,-0.7199961727424029
2019-07,184.01,0.10410416416656654,2.2818639553299636
2019-06,166.66,0.07543395495902439,1.3933429437007359
2019-05,154.97,-0.030649903046225058,-0.31171564663829254
2019-04,159.87,-0.040741629665186574,-0.3929462172987771
2019-03,166.66,-0.14921639695747613,-0.8561766716196765
2019-02,195.89,-0.023187394036102593,-0.24536826036882486
2019-01,200.54,0.16248333429946094,5.090330000217219
2018-12,172.51,-0.052715391796167244,-0.4778854817943957
2018-11,182.11,0.13069663479448668,3.366698383388174
2018-10,161.06,-0.01804657968540424,-0.19630614757980314
2018-09,164.02,0.16574271499644655,5.298433110567625
2018-08,140.7,-0.2875949367088608,-0.982910711968162
2018-07,197.5,-0.0597029137307179,-0.5222715734034318
2018-06,210.04,-0.05237987818632983,-0.4756620548541368
2018-05,221.65,-0.13441637052368494,-0.8231079113428335
2018-04,256.07,-0.11879280085343602,-0.7807515971917822
2018-03,290.59,-0.07221991635005265,-0.5932378397752556
2018-02,313.21,-0.014753067002201914,-0.16335523232056737
2018-01,317.9,,
