Date,TP KFE TR,TP KFE TR-1,TP KFE TR-3,hpi_return_mo,hpi_return_pa
2024-08,146.5,3.6581051439892,34.440671744517,0.036581051439892,0.5390020161959796
2024-07,141.33,0.92837249160895,38.735643467164,0.0092837249160895,0.11727284052945541
2024-06,140.03,1.5445975344452,46.383023207192,0.015445975344452,0.2019374624180834
2024-05,137.9,3.9186134137152,51.338893766462,0.039186134137152,0.5860618525423484
2024-04,132.7,0.92022207011939,51.570531125071,0.009202220701193899,0.11619062340107744
2024-03,131.49,1.2474012474013,55.278696268304,0.012474012474013,0.1603970554386509
2024-02,129.87,3.3092037228542,65.650510204082,0.033092037228542,0.4779786812114284
2024-01,125.71,2.6790819243649,70.154304277206,0.026790819243648997,0.373357876938764
2023-12,122.43,1.9655201132673,83.141361256545,0.019655201132672998,0.26310677998606113
2023-11,120.07,0.74676959221345,87.02492211838,0.0074676959221345,0.09338611522763407
2023-10,119.18,2.5822000344293,91.947173457884,0.025822000344293,0.3578884909374873
2023-09,116.18,6.6164999541158,95.3261600538,0.066164999541158,1.1572131296784764
2023-08,108.97,6.9696672229312,93.690010664771,0.069696672229312,1.2445420026237684
2023-07,101.87,6.4917415847794,92.062594268477,0.06491741584779401,1.1271159075989972
2023-06,95.66,4.982440737489,93.135473450434,0.04982440737489,0.7922557631824192
2023-05,91.12,4.0776699029126,104.48833034111,0.040776699029126,0.6154396114808434
2023-04,87.55,3.389230042513,121.98275862069,0.03389230042513,0.4917759897370142
2023-03,84.68,8.0102040816327,139.2766318169,0.080102040816327,1.521026669088763
2023-02,78.4,6.1180292365999,142.72445820433,0.061180292365999,1.0392483096772311
2023-01,73.88,10.516080777861,146.67779632721,0.10516080777860999,2.3197524649443593
2022-12,66.85,4.1277258566978,151.88394875659,0.041277258566977997,0.6247876238486985
2022-11,64.2,3.3982928007731,176.4857881137,0.033982928007731,0.49334591631842484
2022-10,62.09,4.3880295897781,186.78983833718,0.043880295897780995,0.6742040953901056
2022-09,59.48,5.7234269463207,186.37457871931,0.057234269463207,0.9500905791888585
2022-08,56.26,6.0708898944193,181.44072036018,0.060708898944193,1.0284044244939436
2022-07,53.04,7.0866141732283,173.26120556414,0.070866141732283,1.2741664537984811
2022-06,49.53,11.153500897666,164.01918976546,0.11153500897666,2.5569499135494502
2022-05,44.56,12.981744421907,143.89709906951,0.12981744421907002,3.326127459180312
2022-04,39.44,11.44391070924,120.82866741321,0.1144391070924,2.670085007206387
2022-03,35.39,9.5665634674923,104.33025404157,0.09566563467492299,1.9932051492694596
2022-02,32.3,7.8464106844741,90.223792697291,0.078464106844741,1.4755308750901852
2022-01,29.95,12.84853051997,81.625227410552,0.1284853051997,3.2653129214999064
