Date,Price_Bitcoin,btc_return_mo,btc_return_pa
2023-10,27114.69,0.0015569281641101274,0.01884395684281115
2023-09,27072.54,0.0062951665936890056,0.07821319029870755
2023-09,26903.18,-0.006871342654595991,-0.07941018252689191
2023-09,27089.32,0.03241773988975072,0.46644405850190873
2023-09,26238.72,0.003464492489520188,0.04237530864951333
2023-09,26148.13,-0.005367973601376974,-0.06254750580239543
2023-09,26289.25,-0.00815718723613923,-0.09361187400161775
2023-09,26505.46,-0.003413264431363361,-0.040198930143339195
2023-09,26596.24,0.0022066736805930187,0.026803840865170736
2023-09,26537.68,-0.0024051130643726326,-0.028482619487726124
2023-09,26601.66,-0.018196192019983237,-0.19777434515549097
2023-09,27094.68,-0.0035789938217122286,-0.04211252380705022
2023-09,27192,0.01558598811041323,0.2039276925944984
2023-09,26774.69,0.012394269271634784,0.15930080562931392
2023-09,26446.9,-0.003522180164715061,-0.04145691948232233
2023-09,26540.38,0.004619137834119158,0.056859768000034006
2023-09,26418.35,-0.006034896298734993,-0.07006274103253296
2023-09,26578.75,0.013458121391911826,0.17400429912225812
2023-09,26225.8,0.005807233000362677,0.0719562307051278
2023-09,26074.38,0.03934331870710994,0.588943091391289
2023-09,25087.36,-0.02830716316396964,-0.29148668825215285
2023-09,25818.2,-0.0017719589715909922,-0.02105749745183405
2023-09,25864.03,-0.0014659099683422827,-0.017449783483446946
2023-09,25902,-0.0038458580109221874,-0.045186521514124056
2023-09,26002,0.012941671903042407,0.166845237178755
2023-09,25669.79,-0.0014027935275432446,-0.016704250959981293
2023-09,25705.85,-0.004740153041549844,-0.0554220626048314
2023-09,25828.28,-0.008353346118479488,-0.09576063559724557
2023-09,26045.85,0.007591993686556053,0.09500599099736595
2023-09,25849.6,0.003496180444215957,0.0427703776838908
2023-09,25759.54,-0.009748157852652706,-0.1109055324124496
2023-08,26013.12,-0.045508483718349924,-0.4281727180359981
2023-08,27253.38,-0.011833324026985004,-0.13311308308051983
2023-08,27579.74,0.06150187381094696,1.0466763994139003
2023-08,25981.81,-0.003911617307881032,-0.045942610182310606
2023-08,26083.84,0.002289787409819777,0.027826150158634544
2023-08,26024.25,-0.0009451465648989688,-0.011282986196752498
2023-08,26048.87,0.0012395922298900075,0.014976941840515678
2023-08,26016.62,-0.02162850446905351,-0.23078898515721324
2023-08,26591.76,0.02841668732516811,0.399682007397945
2023-08,25856.99,-0.009679157677354389,-0.11016182838496325
2023-08,26109.71,-0.004701702623217674,-0.05498406078741336
2023-08,26233.05,0.0066454667655670985,0.08272584931136717
2023-08,26059.87,-0.00045681576018208325,-0.005468037150780147
2023-08,26071.78,-0.05680558570291594,-0.504304881770897
2023-08,27642,-0.044864288283606335,-0.42352430806324926
2023-08,28940.39,-0.007925179232664226,-0.09106437288798686
2023-08,29171.58,-0.00664764291649067,-0.0769187709626683
2023-08,29366.8,-0.0012647943357347868,-0.01507239537911298
2023-08,29403.99,-0.0002203296989132797,-0.002640754757270214
2023-08,29410.47,0.0007983119071999223,0.009621916941632946
2023-08,29387.01,-0.001156994736761674,-0.013795926660652769
2023-08,29421.05,-0.002114072402825018,-0.02507596369381726
2023-08,29483.38,-0.016704108558362685,-0.1830213743799045
2023-08,29984.24,0.028295387008615336,0.39770220552764135
2023-08,29159.17,0.002183833104833832,0.02652306223502099
2023-08,29095.63,0.002165139599149546,0.026293315808653572
2023-08,29032.77,0.0032863737819943672,0.04015716870887709
2023-08,28937.67,-0.011860000635137813,-0.1333938717751676
2023-08,29284.99,0.005673117834984476,0.07024226172252068
