Date,Price_Bitcoin
2023-11,37032.56
2023-11,37627.25
2023-11,37813.68
2023-11,37858.25
2023-11,37253.9
2023-11,37625
2023-11,36841.04
2023-11,37426.45
2023-11,37007.99
2023-11,36566.59
2023-11,36418.61
2023-11,35965.5
2023-11,37647.84
2023-11,35585.81
2023-11,36493.45
2023-11,37182.61
2023-11,36988
2023-11,37292.81
2023-11,36541.56
2023-11,35593.56
2023-11,35501.52
2023-11,35030.04
2023-11,34682.13
2023-11,34780.72
2023-11,34621.06
2023-11,34917.45
2023-11,35455.73
2023-10,34650.56
2023-10,34439.91
2023-10,34590.86
2023-10,34135.43
2023-10,33836.54
2023-10,34191.55
2023-10,34680.57
2023-10,33651.38
2023-10,31537.58
2023-10,29860.75
2023-10,30028.03
2023-10,29601
2023-10,28728.04
2023-10,28260
2023-10,28459.42
2023-10,28405.38
2023-10,27206.04
2023-10,26850.06
2023-10,26976.51
2023-10,26737.69
2023-10,26717.11
2023-10,27405.48
2023-10,27576.46
2023-10,27923.41
2023-10,27937.45
2023-10,27995.25
2023-10,27479
2023-10,27659.68
2023-10,27396.6
2023-10,27842.16
2023-10,27114.69
2023-09,27072.54
2023-09,26903.18
2023-09,27089.32
2023-09,26238.72
2023-09,26148.13
2023-09,26289.25
2023-09,26505.46
2023-09,26596.24
2023-09,26537.68
2023-09,26601.66
2023-09,27094.68
2023-09,27192
2023-09,26774.69
2023-09,26446.9
2023-09,26540.38
2023-09,26418.35
2023-09,26578.75
2023-09,26225.8
2023-09,26074.38
2023-09,25087.36
2023-09,25818.2
2023-09,25864.03
2023-09,25902
2023-09,26002
2023-09,25669.79
2023-09,25705.85
2023-09,25828.28
2023-09,26045.85
2023-09,25849.6
2023-09,25759.54
2023-08,26013.12
2023-08,27253.38
2023-08,27579.74
2023-08,25981.81
2023-08,26083.84
2023-08,26024.25
2023-08,26048.87
2023-08,26016.62
2023-08,26591.76
2023-08,25856.99
2023-08,26109.71
2023-08,26233.05
2023-08,26059.87
2023-08,26071.78
2023-08,27642
2023-08,28940.39
2023-08,29171.58
2023-08,29366.8
2023-08,29403.99
2023-08,29410.47
2023-08,29387.01
2023-08,29421.05
2023-08,29483.38
2023-08,29984.24
2023-08,29159.17
2023-08,29095.63
2023-08,29032.77
2023-08,28937.67
2023-08,29284.99
2023-08,29119.79
2023-08,29212.88
2023-07,29206.8
2023-07,29271.19
2023-07,29356.5
2023-07,29342.44
2023-07,29143.93
2023-07,29589.43
2023-07,29229.74
2023-07,29145.13
2023-07,30144.88
2023-07,29833.35
2023-07,29883.66
2023-07,29737.02
2023-07,29966.89
2023-07,29784.08
2023-07,29931.93
2023-07,30287.41
2023-07,30314.36
2023-07,30206
2023-07,31386
2023-07,30351.84
2023-07,30578.75
2023-07,30785.96
2023-07,30201.16
2023-07,30163.19
2023-07,30272.41
2023-07,30315.91
2023-07,30470.54
2023-07,30807.48
2023-07,31128.76
2023-07,30592.26
2023-07,30592.81
2023-06,30390.91
2023-06,30400.46
2023-06,30104.08
2023-06,30655.23
2023-06,30163.13
2023-06,30383.36
2023-06,30523.34
2023-06,30928.74
2023-06,30157.31
2023-06,29985.4
2023-06,28169.64
2023-06,26718.39
2023-06,26472
2023-06,26534.66
2023-06,26394.71
2023-06,25547.99
2023-06,24928.57
2023-06,25849.13
2023-06,25895
2023-06,26135.88
2023-06,25767.85
2023-06,26444.43
2023-06,26645.5
2023-06,26363.47
2023-06,26945.16
2023-06,25641.7
2023-06,27249.75
2023-06,27071.27
2023-06,27183.62
2023-06,26868.32
2023-05,27117.1
2023-05,27772.51
2023-05,27693.13
2023-05,27564.04
2023-05,26760.83
2023-05,26759.28
2023-05,26490.2
2023-05,26401.81
2023-05,27223.3
2023-05,26899.28
2023-05,26851.07
2023-05,27024.24
2023-05,26839.54
2023-05,26726.05
2023-05,27337.78
2023-05,26956.57
2023-05,27354.85
2023-05,26952.65
2023-05,26918.96
2023-05,26447.7
2023-05,27009.45
2023-05,27875.64
2023-05,27659.74
2023-05,27562.71
2023-05,28953.02
2023-05,28851.54
2023-05,29524.75
2023-05,28884.06
2023-05,28528.95
2023-05,28695.82
2023-05,27683.13
2023-04,29347.96
2023-04,29242.06
2023-04,29354.75
2023-04,29633.43
2023-04,28417.5
2023-04,27979.6
2023-04,27460.55
2023-04,27508.33
2023-04,27645.8
2023-04,27272.1
2023-04,28203.91
2023-04,29249.26
2023-04,30422
2023-04,29459.36
2023-04,30361
2023-04,30312.22
2023-04,30470.31
2023-04,30285.33
2023-04,29968.01
2023-04,30192.1
2023-04,29142.36
2023-04,28136.46
2023-04,27932.43
2023-04,27890.37
2023-04,27992.29
2023-04,28157.09
2023-04,28257.1
2023-04,27588.08
2023-04,28076.92
2023-04,28463.77
2023-03,28395.3
2023-03,28152.28
2023-03,28393
2023-03,27313.73
2023-03,27048.29
2023-03,27806.41
2023-03,27384.45
2023-03,27618.28
2023-03,28333
2023-03,27392.32
2023-03,28154.56
2023-03,28082.46
2023-03,27974.84
2023-03,27409.3
2023-03,26823.38
2023-03,24753.63
2023-03,24391.4
2023-03,24636.25
2023-03,24234.19
2023-03,21491.18
2023-03,20503.75
2023-03,20101.78
2023-03,20226.09
2023-03,22006.5
2023-03,22055.35
2023-03,22408.87
2023-03,22485.95
2023-03,22216.8
2023-03,22242.64
2023-03,23415.5
2023-03,23558.34
2023-02,23146.88
2023-02,23384.87
2023-02,23560.84
2023-02,22940.51
2023-02,23101.79
2023-02,23878.02
2023-02,23805.88
2023-02,24199.85
2023-02,24769.17
2023-02,24546.64
2023-02,24621.25
2023-02,24487.25
2023-02,24535.46
2023-02,24179.13
2023-02,22252.63
2023-02,21630.92
2023-02,21741.45
2023-02,21828.1
2023-02,21540.9
2023-02,21857.43
2023-02,22959.05
2023-02,23199.48
2023-02,22916.21
2023-02,22903.12
2023-02,23417.15
2023-02,23383.51
2023-02,23460.05
2023-02,23682.05
2023-01,22950.56
2023-01,22747.14
2023-01,23797.16
2023-01,23008.03
2023-01,23092
2023-01,23080.96
2023-01,23598.24
2023-01,22904.83
2023-01,22998.16
2023-01,22591.84
2023-01,23204.05
2023-01,22318.24
2023-01,20939.64
2023-01,20778.65
2023-01,21316.08
2023-01,21133.18
2023-01,20906.28
2023-01,20903.7
2023-01,19813.55
2023-01,18830.98
2023-01,17560.6
2023-01,17466.71
2023-01,17181.34
2023-01,16956.66
2023-01,16938.55
2023-01,16927.86
2023-01,16844.62
2023-01,16821.82
2023-01,16661.86
2023-01,16750.94
2023-01,16602.63
2022-12,16539.5
2022-12,16579.06
2022-12,16593.4
2022-12,16517.32
2022-12,16692.55
2022-12,16833.01
2022-12,16830.25
2022-12,16829.82
2022-12,16811.33
2022-12,16792.25
2022-12,16793.1
2022-12,16881.54
2022-12,16586.82
2022-12,16753.05
2022-12,16718.5
2022-12,16837.95
2022-12,17399.63
2022-12,17828.9
2022-12,17762
2022-12,17177.78
2022-12,17115.37
2022-12,17129.35
2022-12,17113.29
2022-12,17184.1
2022-12,16830.68
2022-12,16994.34
2022-12,16972.24
2022-12,17114.59
2022-12,16950.39
2022-12,17014.59
2022-12,16929.96
2022-11,17104.5
2022-11,16460.7
2022-11,16196.39
2022-11,16571.89
2022-11,16509.39
2022-11,16497.05
2022-11,16543.55
2022-11,16471.9
2022-11,16130.03
2022-11,15631.95
2022-11,16253.33
2022-11,16660.59
2022-11,16637.36
2022-11,16680.76
2022-11,16531.47
2022-11,16890.18
2022-11,16385.41
2022-11,16365.81
2022-11,16793.47
2022-11,16757.37
2022-11,17807.64
2022-11,15731.3
2022-11,18698.63
2022-11,20683.87
2022-11,21128.93
2022-11,21355.89
2022-11,21135.44
2022-11,20238.8
2022-11,20175.79
2022-11,20479.4
2022-10,20405.66
2022-10,20689.77
2022-10,20864.33
2022-10,20635.82
2022-10,20399.52
2022-10,20752.38
2022-10,20189.29
2022-10,19382.19
2022-10,19497.58
2022-10,19219.63
2022-10,19181.79
2022-10,19030.39
2022-10,19196.47
2022-10,19367.71
2022-10,19529.38
2022-10,19332.84
2022-10,19097.54
2022-10,19177.31
2022-10,19386.99
2022-10,19169.43
2022-10,19019.1
2022-10,19241.2
2022-10,19485.5
2022-10,19456.38
2022-10,19551.56
2022-10,20051.13
2022-10,19988.42
2022-10,20340.91
2022-10,19597.13
2022-10,19234.63
2022-10,19252.71
2022-09,19425.13
2022-09,19508.14
2022-09,19567.79
2022-09,19072.71
2022-09,19113.38
2022-09,18903.75
2022-09,19144.41
2022-09,18852.06
2022-09,19247.72
2022-09,18926.45
2022-09,18974.31
2022-09,19522.21
2022-09,19721.88
2022-09,20080.05
2022-09,19751.07
2022-09,19852.49
2022-09,19946.38
2022-09,20240.4
2022-09,22409.58
2022-09,21641.25
2022-09,21431.35
2022-09,21300.3
2022-09,19379.74
2022-09,19387.15
2022-09,18978.5
2022-09,19742.13
2022-09,19901.9
2022-09,19743.94
2022-09,19969.21
2022-09,20071.34
2022-08,20196.67
2022-08,19975.94
2022-08,20177.32
2022-08,19989.13
2022-08,20009.56
2022-08,20650.41
2022-08,21647.93
2022-08,21692.74
2022-08,21477.74
2022-08,21124.4
2022-08,21474.5
2022-08,20819.56
2022-08,21274.36
2022-08,23416.76
2022-08,23407.4
2022-08,23984.02
2022-08,24074.01
2022-08,24322.8
2022-08,24494.84
2022-08,24240.76
2022-08,24216.28
2022-08,23904.94
2022-08,23144.84
2022-08,24072.39
2022-08,23266.22
2022-08,23174.48
2022-08,22985.34
2022-08,22513.58
2022-08,23327.08
2022-08,23029.66
2022-08,23129.11
2022-07,23807.28
2022-07,23972.77
2022-07,23951.94
2022-07,24033.74
2022-07,22784.97
2022-07,20985.62
2022-07,22171.68
2022-07,22723.53
2022-07,22330.07
2022-07,22605.38
2022-07,23123.88
2022-07,23258.12
2022-07,23304.71
2022-07,21487.97
2022-07,20930.58
2022-07,21204.61
2022-07,20926.53
2022-07,20667.93
2022-07,19657.01
2022-07,19443.28
2022-07,20409.54
2022-07,20972.87
2022-07,21672.98
2022-07,21846.53
2022-07,21610.58
2022-07,20380
2022-07,20441.63
2022-07,19755.85
2022-07,19420.48
2022-07,19238.99
2022-07,19406.69
2022-06,18731.3
2022-06,20197.75
2022-06,20247.7
2022-06,20898.65
2022-06,21392.35
2022-06,21214.51
2022-06,21183.82
2022-06,20795.38
2022-06,19857.05
2022-06,20838.45
2022-06,20427.23
2022-06,20607.54
2022-06,17785.09
2022-06,20630.54
2022-06,20677.24
2022-06,21640.29
2022-06,21966.38
2022-06,23209.61
2022-06,27345.79
2022-06,28380.38
2022-06,29177.39
2022-06,30161.34
2022-06,30179.77
2022-06,31330.81
2022-06,31438.72
2022-06,29925.66
2022-06,29733.76
2022-06,29640.5
2022-06,30225.18
2022-06,29621.61
2022-05,31788.28
2022-05,31257.74
2022-05,29160.07
2022-05,28999.04
2022-05,28728.9
2022-05,29437.55
2022-05,29764.46
2022-05,29438.3
2022-05,29314.55
2022-05,29907.98
2022-05,29391.93
2022-05,29117.13
2022-05,30231.08
2022-05,29205.89
2022-05,30077.8
2022-05,29908.75
2022-05,31019.19
2022-05,29341.75
2022-05,29760.13
2022-05,28546.25
2022-05,28402.78
2022-05,31000.83
2022-05,30959.3
2022-05,34225.04
2022-05,35768.23
2022-05,36077.29
2022-05,36456.02
2022-05,39800.33
2022-05,37784.82
2022-05,38312.41
2022-05,38320.24
2022-04,38334.7
2022-04,38560.04
2022-04,39889.27
2022-04,39106.93
2022-04,38123.52
2022-04,40186.18
2022-04,39515.9
2022-04,39808.74
2022-04,39621.31
2022-04,40615.45
2022-04,41430.79
2022-04,41297.9
2022-04,40673.67
2022-04,40273.09
2022-04,40294.88
2022-04,40404.52
2022-04,39915.93
2022-04,41254.52
2022-04,39534.08
2022-04,39846.47
2022-04,43125.15
2022-04,42447.77
2022-04,42815.77
2022-04,43577.22
2022-04,43885.38
2022-04,45868.99
2022-04,46311.76
2022-04,46387.63
2022-04,46196.63
2022-04,46168.58
2022-03,45767.58
2022-03,47277.24
2022-03,47486.26
2022-03,47967.56
2022-03,46111.06
2022-03,44590.9
2022-03,44577.76
2022-03,43895.65
2022-03,42368.58
2022-03,42606.24
2022-03,41136.88
2022-03,41308.02
2022-03,42219.42
2022-03,41755.9
2022-03,40724.56
2022-03,41258.79
2022-03,39441.9
2022-03,38725.24
2022-03,38687.43
2022-03,39102.38
2022-03,38860.7
2022-03,39329.95
2022-03,41893.74
2022-03,38506.43
2022-03,37839.36
2022-03,39030.04
2022-03,39380.38
2022-03,39393.7
2022-03,42096.97
2022-03,44090.72
2022-03,43900.24
2022-02,41654.97
2022-02,37435.48
2022-02,39480.74
2022-02,38994.5
2022-02,38414.95
2022-02,37543.5
2022-02,37893.47
2022-02,37076.09
2022-02,38252.4
